id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
449,GJ 2056 b,93,16.2 Earths,10.37,2020
450,GJ 433 b,30,6.043 Earths,9.81,2011
451,GJ 433 c,30,32.422 Earths,9.81,2014
452,GJ 433 d,30,5.223 Earths,9.81,2020
453,GJ 436 b,32,22.1 Earths,10.67,2004
454,GJ 463 b,60,3.6 Jupiters,11.595,2022
455,GJ 480 b,46,13.2 Earths,11.49,2020
456,GJ 486 b,26,2.82 Earths,11.39,2021
457,GJ 504 b,57,4 Jupiters,5.18799,2013
458,GJ 514 b,25,5.2 Earths,9.05,2022
459,GJ 536 b,34,5.36 Earths,9.71,2016
460,GJ 581 b,21,15.8 Earths,10.57,2005
461,GJ 581 c,21,5.5 Earths,10.57,2007
462,GJ 581 e,21,1.7 Earths,10.57,2009
463,GJ 625 b,21,2.82 Earths,10.066,2017
464,GJ 649 b,34,0.258 Jupiters,9.7,2009
465,GJ 667 C b,24,5.6 Earths,10.602,2011
466,GJ 667 C c,24,3.8 Earths,10.602,2011
467,GJ 667 C e,24,2.7 Earths,10.602,2013
468,GJ 667 C f,24,2.7 Earths,10.602,2013
469,GJ 667 C g,24,4.6 Earths,10.602,2013
470,GJ 674 b,15,11.09 Earths,9.38,2007
471,GJ 676 A b,52,5.792 Jupiters,9.58,2010
472,GJ 676 A c,52,13.492 Jupiters,9.58,2016
473,GJ 676 A d,52,3.81394 Earths,9.58,2012
474,GJ 676 A e,52,6.6744 Earths,9.58,2012
475,GJ 680 b,32,25.1 Jupiters,10.129,2022
476,GJ 682 b,16,4.4 Earths,10.94,2014
477,GJ 682 c,16,8.7 Earths,10.94,2014
478,GJ 685 b,47,9 Earths,9.98,2019
479,GJ 687 b,15,17.2 Earths,9.15,2014
480,GJ 687 c,15,16 Earths,9.15,2020
481,GJ 720 A b,51,13.64 Earths,9.84,2021
482,GJ 724 b,55,10.75 Earths,10.638,2023
483,GJ 740 b,36,2.96 Earths,9.22,2021
484,GJ 806 b,39,1.9 Earths,10.79,2023
485,GJ 806 c,39,5.8 Earths,10.79,2023
486,GJ 832 b,16,0.99 Jupiters,8.66,2008
487,GJ 849 b,29,0.893 Jupiters,10.41,2006
488,GJ 849 c,29,0.99 Jupiters,10.41,2014
489,GJ 86 b,35,4.42 Jupiters,6.12,1999
490,GJ 876 b,15,2.2756 Jupiters,10.16,1998
491,GJ 876 c,15,0.7142 Jupiters,10.16,2000
492,GJ 876 d,15,6.83 Earths,10.16,2005
493,GJ 876 e,15,14.6 Earths,10.16,2010
494,GJ 887 b,11,4.2 Earths,7.33,2020
495,GJ 887 c,11,7.6 Earths,7.33,2020
496,GJ 896 A b,20,2.26 Jupiters,10.05,2022
497,GJ 9066 c,15,0.21 Jupiters,12.71,2020
498,GJ 9404 b,78,11.9 Earths,10.62,2023
499,GJ 9689 b,100,9.65 Earths,11.297,2020
